ID_ENDERECO,TIPO_LOGRADOURO,LOGRADOURO,BAIRRO,CIDADE,ESTADO,GEOLOCALIZACAO
136,Rua,"Olímpio Ávila","Santa Luzia",Penedo,Alagoas,"POINT(-10.28549 -36.5644)"
137,Rua,"Padre Cicero","Dom Constantino",Penedo,Alagoas,"POINT(-10.28429 -36.55401)"
138,Rua,"Palmeira Alta","Dom Constantino",Penedo,Alagoas,"POINT(-10.2858 -36.55647)"
139,Rua,"Perilo Gomes",Centro,Penedo,Alagoas,"POINT(-10.28913 -36.57971)"
140,Rua,Pernambuquinho,"Dom Constantino",Penedo,Alagoas,"POINT(-10.28374 -36.54687)"
142,Rua,Persigas,"Dom Constantino",Penedo,Alagoas,"POINT(-10.2868 -36.55816)"
143,Rua,Primavera,"Santa Luzia",Penedo,Alagoas,"POINT(-10.27407 -36.56046)"
144,Rua,"Professora Arlindo Morais","Senhor do Bonfim",Penedo,Alagoas,"POINT(-10.28496 -36.56471)"
145,Rua,"Professora Cecilia Almeida","Senhor do Bonfim",Penedo,Alagoas,"POINT(-10.28496 -36.56471)"
146,Rua,"Professora Eutalia Besouchet","Senhor do Bonfim",Penedo,Alagoas,"POINT(-10.28496 -36.56471)"
148,Rua,"Professora Tertuliano Filho","Senhor do Bonfim",Penedo,Alagoas,"POINT(-10.28455 -36.56733)"
149,Rua,"Roberto Vieira","Santa Izabel",Penedo,Alagoas,"POINT(-10.27456 -36.55659)"
150,Rua,"Sabino Romariz","Centro Histórico",Penedo,Alagoas,"POINT(-10.29142 -36.58407)"
151,Rua,"Santa Catarina","Dom Constantino",Penedo,Alagoas,"POINT(-10.28367 -36.55173)"
152,Rua,"Santa Cecilia","Santa Luzia",Penedo,Alagoas,"POINT(-10.27209 -36.56073)"
153,Rua,"Santa Clara","Senhor do Bonfim",Penedo,Alagoas,"POINT(-10.29003 -36.56797)"
154,Rua,"Santa Fernanda","Dom Constantino",Penedo,Alagoas,"POINT(-10.28332 -36.55383)"
155,Rua,"Santa Lúcia","Dom Constantino",Penedo,Alagoas,"POINT(-10.28379 -36.55109)"
156,Rua,"Santa Margarida","Dom Constantino",Penedo,Alagoas,"POINT(-10.28417 -36.55472)"
157,Rua,"Santa Terezinha","Santa Luzia",Penedo,Alagoas,"POINT(-10.28009 -36.5609)"
158,Rua,"Santo Andre","Senhor do Bonfim",Penedo,Alagoas,"POINT(-10.28722 -36.56091)"
159,Rua,"Santo Antônio","Dom Constantino",Penedo,Alagoas,"POINT(-10.28881 -36.56386)"
160,Rua,"São Cristovão","Santa Izabel",Penedo,Alagoas,"POINT(-10.27181 -36.55293)"
161,Rua,"São Francisco","Santa Luzia",Penedo,Alagoas,"POINT(-10.28516 -36.56269)"
162,Rua,"São João","Senhor do Bonfim",Penedo,Alagoas,"POINT(-10.29602 -36.57415)"
163,Rua,"São José","Senhor do Bonfim",Penedo,Alagoas,"POINT(-10.29099 -36.57491)"
164,Rua,"São Miguel","Centro Histórico",Penedo,Alagoas,"POINT(-10.29238 -36.58388)"
166,Rua,"São Pedro","Senhor do Bonfim",Penedo,Alagoas,"POINT(-10.29151 -36.5749)"
167,Rua,"São Sebastião","Santa Luzia",Penedo,Alagoas,"POINT(-10.28059 -36.57316)"
168,Rua,"Senhor do Bonfim","Senhor do Bonfim",Penedo,Alagoas,"POINT(-10.29371 -36.57279)"
169,Rua,"Siqueira Campos","Centro Histórico",Penedo,Alagoas,"POINT(-10.29074 -36.58455)"
170,Rua,Sucupira,Centro,Penedo,Alagoas,"POINT(-10.29254 -36.58288)"
171,Rua,Tapera,"Dom Constantino",Penedo,Alagoas,"POINT(-10.28748 -36.55815)"
172,Rua,"Tenente Eulogio Bispo","Santa Luzia",Penedo,Alagoas,"POINT(-10.27988 -36.56195)"
173,Rua,"Tenete Mariano","Centro Histórico",Penedo,Alagoas,"POINT(-10.28794 -36.584)"
174,Rua,Tiradentes,"Santa Izabel",Penedo,Alagoas,"POINT(-10.27161 -36.55146)"
175,Rua,"Trancredo Pereira","Santa Izabel",Penedo,Alagoas,"POINT(-10.27185 -36.55483)"
176,Rua,Tropical,"Dom Constantino",Penedo,Alagoas,"POINT(-10.28374 -36.54687)"
177,Rua,Tupinambás,Centro,Penedo,Alagoas,"POINT(-10.2915 -36.57966)"
178,Rua,"Ulisses Batinga",Centro,Penedo,Alagoas,"POINT(-10.29076 -36.57975)"
179,Rua,"Vereador Jayme Cabral","Santa Izabel",Penedo,Alagoas,"POINT(-10.27169 -36.55383)"
180,Rua,"Wellington da Silva","Santa Luzia",Penedo,Alagoas,"POINT(-10.27061 -36.56067)"
182,Travessa,"Alto do São João","Santa Luzia",Penedo,Alagoas,"POINT(-10.27982 -36.56732)"
183,Travessa,Arizona,"Dom Constantino",Penedo,Alagoas,"POINT(-10.28639 -36.5549)"
184,Travessa,"Batista Acioli","Centro Histórico",Penedo,Alagoas,"POINT(-10.29231 -36.58523)"
185,Travessa,"Bela Aurora","Senhor do Bonfim",Penedo,Alagoas,"POINT(-10.29517 -36.57455)"
186,Travessa,"Belo Horizonte","Dom Constantino",Penedo,Alagoas,"POINT(-10.28471 -36.54867)"
187,Travessa,"Boa Vista","Senhor do Bonfim",Penedo,Alagoas,"POINT(-10.29186 -36.57575)"
188,Travessa,"Campos Teixeira",Centro,Penedo,Alagoas,"POINT(-10.29473 -36.57945)"
189,Travessa,Canduru,"Santa Luzia",Penedo,Alagoas,"POINT(-10.2716 -36.55857)"
190,Travessa,"Carvalho Sobrinho","Centro Histórico",Penedo,Alagoas,"POINT(-10.29112 -36.58426)"
191,Travessa,"Castro Alves","Senhor do Bonfim",Penedo,Alagoas,"POINT(-10.28421 -36.56514)"
192,Travessa,"Costa e Silva",Centro,Penedo,Alagoas,"POINT(-10.29149 -36.58227)"
194,Travessa,"da Floresta","Santa Luzia",Penedo,Alagoas,"POINT(-10.2783 -36.56306)"
195,Travessa,"Dionísio Campos","Centro Histórico",Penedo,Alagoas,"POINT(-10.29142 -36.58407)"
196,Travessa,"do Carvo","Santa Luzia",Penedo,Alagoas,"POINT(-10.27787 -36.55966)"
197,Travessa,"do Jardim 1",Centro,Penedo,Alagoas,"POINT(-10.28895 -36.5789)"
198,Travessa,"do Jardim 2",Centro,Penedo,Alagoas,"POINT(-10.28908 -36.58127)"
199,Travessa,"do Rosario","Senhor do Bonfim",Penedo,Alagoas,"POINT(-10.29424 -36.57346)"
200,Travessa,"do Sossego","Santa Luzia",Penedo,Alagoas,"POINT(-10.28135 -36.57159)"
201,Travessa,"Dom Pedro I","Dom Constantino",Penedo,Alagoas,"POINT(-10.28235 -36.55408)"
202,Travessa,"Dom Pedro II","Dom Constantino",Penedo,Alagoas,"POINT(-10.28068 -36.55611)"
203,Travessa,"dos Artistas",Centro,Penedo,Alagoas,"POINT(-10.29032 -36.579)"
204,Travessa,"Doutor Luiz Machado Lemos","Dom Constantino",Penedo,Alagoas,"POINT(-10.28186 -36.55632)"
205,Travessa,"Engenheiro Joaquim Gonçalves","Senhor do Bonfim",Penedo,Alagoas,"POINT(-10.28786 -36.56402)"
206,Travessa,"Fernando Peixoto",Centro,Penedo,Alagoas,"POINT(-10.29589 -36.5778)"
207,Travessa,"Frei Damiao","Dom Constantino",Penedo,Alagoas,"POINT(-10.2803 -36.55312)"
208,Travessa,"Gomes de Assunção","Centro Histórico",Penedo,Alagoas,"POINT(-10.29148 -36.58552)"
209,Travessa,Guarani,"Dom Constantino",Penedo,Alagoas,"POINT(-10.27768 -36.5532)"
210,Travessa,"Jardim Portugal","Santa Luzia",Penedo,Alagoas,"POINT(-10.28119 -36.5661)"
211,Travessa,"Joaquim Mazoni","Centro Histórico",Penedo,Alagoas,"POINT(-10.29299 -36.58347)"
212,Travessa,"Joaquim Nabuco","Centro Histórico",Penedo,Alagoas,"POINT(-10.29299 -36.58347)"
213,Travessa,"João Pessoa","Centro Histórico",Penedo,Alagoas,"POINT(-10.28884 -36.58351)"
214,Travessa,"João Ramalho","Santa Luzia",Penedo,Alagoas,"POINT(-10.27667 -36.56213)"
215,Travessa,"Manuel Barreiros","Santa Luzia",Penedo,Alagoas,"POINT(-10.28218 -36.57373)"
216,Travessa,"Nossa Senhora do Rosario","Senhor do Bonfim",Penedo,Alagoas,"POINT(-10.29424 -36.57346)"
217,Travessa,"Padre José de Anchieta","Santa Izabel",Penedo,Alagoas,"POINT(-10.27044 -36.55335)"
218,Travessa,"Perilo Gomes",Centro,Penedo,Alagoas,"POINT(-10.28976 -36.58122)"
219,Travessa,"Ponta Mofina","Dom Constantino",Penedo,Alagoas,"POINT(-10.28683 -36.55876)"
220,Travessa,"Quinze de Novembro","Santo Antônio",Penedo,Alagoas,"POINT(-10.28504 -36.57919)"
221,Travessa,"Rua Nova","Santa Luzia",Penedo,Alagoas,"POINT(-10.2716 -36.55857)"
222,Travessa,"Salgado Filho","Santa Luzia",Penedo,Alagoas,"POINT(-10.28135 -36.57367)"
223,Travessa,"Santa Clara","Santa Luzia",Penedo,Alagoas,"POINT(-10.28009 -36.5609)"
224,Travessa,"Santa Terezinha","Santa Luzia",Penedo,Alagoas,"POINT(-10.28009 -36.5609)"
225,Travessa,"Santo Antônio","Senhor do Bonfim",Penedo,Alagoas,"POINT(-10.29264 -36.57402)"
226,Travessa,"São João","Senhor do Bonfim",Penedo,Alagoas,"POINT(-10.29581 -36.57395)"
227,Travessa,"São João 1","Senhor do Bonfim",Penedo,Alagoas,"POINT(-10.2955 -36.57419)"
228,Travessa,"São João 2","Senhor do Bonfim",Penedo,Alagoas,"POINT(-10.29556 -36.57425)"
229,Travessa,"São Miguel","Centro Histórico",Penedo,Alagoas,"POINT(-10.29365 -36.5831)"
230,Travessa,"São Paulo","Senhor do Bonfim",Penedo,Alagoas,"POINT(-10.29608 -36.57377)"
231,Travessa,"Senhor do Bonfim","Senhor do Bonfim",Penedo,Alagoas,"POINT(-10.29424 -36.57346)"
232,Travessa,"Tancredo Pereira","Santa Izabel",Penedo,Alagoas,"POINT(-10.27164 -36.55566)"
233,Travessa,"Tenente Mariano","Centro Histórico",Penedo,Alagoas,"POINT(-10.2881 -36.58371)"
234,Travessa,Tiradentes,"Santa Izabel",Penedo,Alagoas,"POINT(-10.27141 -36.55231)"
235,Travessa,Trindade,"Senhor do Bonfim",Penedo,Alagoas,"POINT(-10.29297 -36.57392)"
236,Travessa,"Ulisses Batinga",Centro,Penedo,Alagoas,"POINT(-10.29004 -36.57953)"
